Area,Centroid_1,Centroid_2,BoundingBox_1,BoundingBox_2,BoundingBox_3,BoundingBox_4,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,ConvexArea,FilledArea,EulerNumber,EquivDiameter,Solidity,Extent,Perimeter,PerimeterOld,neg_red_mean,neg_blue_mean,y
55,523.9454545,115.9636364,516.5,112.5,14,7,14.80361744,5.923443312,0.916456272,-20.54138473,69,60,-4,8.368283872,0.797101449,0.56122449,32.204,34.14213562,84.09090909,118.4727273,0
55,523.4181818,208.0181818,518.5,203.5,10,9,9.453125378,8.669274879,0.398702593,63.65682259,70,59,-3,8.368283872,0.785714286,0.611111111,32.891,34.627417,85.09090909,119.8181818,0
64,546.96875,159.859375,541.5,154.5,12,12,12.70341525,11.96694934,0.33553947,22.04268315,112,69,-4,9.027033337,0.571428571,0.444444444,60.158,63.59797975,98.546875,132.9375,0
99,586.5151515,752.3434343,576.5,746.5,21,12,21.05044137,9.562036146,0.890877327,-2.068294481,177,113,-7,11.22723096,0.559322034,0.392857143,66.534,71.01219331,85.25252525,123.9090909,0
72,603.6388889,272.7361111,598.5,267.5,11,11,11.61692735,10.53363626,0.42167097,-35.64852179,93,83,-3,9.57461473,0.774193548,0.595041322,37.365,39.21320344,86.55555556,131,0
52,603.3269231,66.94230769,599.5,61.5,8,13,12.26085068,7.89095693,0.765370713,85.97905011,73,52,1,8.13685789,0.712328767,0.5,44.13,46.87005769,96.36538462,133.6730769,0
72,605.0277778,207.9027778,600.5,202.5,9,11,12.31905979,8.237412426,0.743557349,79.47541872,87,72,1,9.57461473,0.827586207,0.727272727,33.519,35.55634919,89.48611111,135.1805556,0
166,607.3433735,230.9457831,601.5,217.5,14,24,22.89769979,10.74544733,0.883049079,71.81086163,219,173,-6,14.53814859,0.757990868,0.494047619,71.19,75.59797975,87.96987952,131.7590361,0
60,608.3,355.95,604.5,351.5,9,12,11.53852598,8.135257717,0.709155876,56.766343,77,60,1,8.740387445,0.779220779,0.555555556,34.462,36.38477631,100.5833333,141.8833333,0
98,613,248.122449,605.5,240.5,15,15,17.11405843,12.38106913,0.690382684,31.07404352,164,98,1,11.17038385,0.597560976,0.435555556,75.763,80.76955262,88.73469388,135.6734694,0
66,615.7424242,132.1818182,609.5,127.5,14,10,16.73557384,7.97133862,0.879276857,-9.275715805,110,66,1,9.166995688,0.6,0.471428571,45.809,48.28427125,98.06060606,139.5909091,0
53,616.9811321,188.1509434,610.5,180.5,11,13,15.25919107,7.064442376,0.886377555,53.13688148,86,55,0,8.214724333,0.61627907,0.370629371,45.519,48.627417,112.5471698,151.8490566,0
54,617.5,274.4074074,611.5,270.5,12,7,12.00113579,6.609645787,0.834669143,6.310961711,67,54,1,8.291859587,0.805970149,0.642857143,32.519,34.04163056,98.40740741,147.2037037,0
107,625.2803738,257.8130841,618.5,251.5,14,12,14.19272158,11.07728703,0.625167406,-22.72654325,132,112,-1,11.67204486,0.810606061,0.636904762,49.464,52.87005769,98.34579439,142.4018692,0
59,625.4745763,377.5762712,618.5,373.5,14,9,15.70386832,6.900201789,0.89829394,-10.36445207,94,61,-1,8.667244841,0.627659574,0.468253968,44.775,47.45584412,103.0677966,144.3728814,0
78,629.0769231,274.5128205,624.5,268.5,11,12,12.24783325,9.950953793,0.583007926,-25.25840254,101,81,0,9.96557497,0.772277228,0.590909091,38.382,40.38477631,96.16666667,142.7564103,0
